<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.05	00:00:00	1.05084	1.05109	1.05073	1.05089	122	0	26
2024.12.05	00:15:00	1.05089	1.05106	1.05088	1.05099	161	0	26
2024.12.05	00:30:00	1.05100	1.05112	1.05100	1.05107	136	0	25
2024.12.05	00:45:00	1.05107	1.05116	1.05088	1.05095	341	0	25
2024.12.05	01:00:00	1.05095	1.05111	1.05078	1.05091	300	0	2
2024.12.05	01:15:00	1.05091	1.05152	1.05091	1.05139	368	0	2
2024.12.05	01:30:00	1.05139	1.05157	1.05115	1.05117	399	0	2
2024.12.05	01:45:00	1.05117	1.05145	1.05109	1.05125	425	0	2
2024.12.05	02:00:00	1.05125	1.05126	1.05081	1.05118	801	0	2
2024.12.05	02:15:00	1.05118	1.05129	1.05093	1.05106	557	0	2
2024.12.05	02:30:00	1.05106	1.05159	1.05106	1.05149	801	0	2
2024.12.05	02:45:00	1.05149	1.05152	1.05126	1.05141	873	0	2
2024.12.05	03:00:00	1.05141	1.05156	1.05130	1.05155	887	0	2
2024.12.05	03:15:00	1.05155	1.05159	1.05106	1.05134	838	0	2
2024.12.05	03:30:00	1.05134	1.05147	1.05102	1.05137	1058	0	2
2024.12.05	03:45:00	1.05137	1.05156	1.05090	1.05123	993	0	2
2024.12.05	04:00:00	1.05123	1.05151	1.05105	1.05150	831	0	2
2024.12.05	04:15:00	1.05150	1.05177	1.05142	1.05169	724	0	2
2024.12.05	04:30:00	1.05169	1.05228	1.05169	1.05220	679	0	2
2024.12.05	04:45:00	1.05220	1.05227	1.05187	1.05199	780	0	2
2024.12.05	05:00:00	1.05199	1.05231	1.05193	1.05222	697	0	2
2024.12.05	05:15:00	1.05222	1.05227	1.05180	1.05185	473	0	2
2024.12.05	05:30:00	1.05185	1.05187	1.05157	1.05179	431	0	2
2024.12.05	05:45:00	1.05179	1.05232	1.05174	1.05229	499	0	2
2024.12.05	06:00:00	1.05230	1.05245	1.05226	1.05230	546	0	2
2024.12.05	06:15:00	1.05230	1.05256	1.05214	1.05230	356	0	2
2024.12.05	06:30:00	1.05230	1.05232	1.05174	1.05182	393	0	2
2024.12.05	06:45:00	1.05182	1.05200	1.05172	1.05182	370	0	2
2024.12.05	07:00:00	1.05182	1.05213	1.05172	1.05213	377	0	2
2024.12.05	07:15:00	1.05213	1.05268	1.05211	1.05243	672	0	2
2024.12.05	07:30:00	1.05243	1.05282	1.05242	1.05276	916	0	2
2024.12.05	07:45:00	1.05276	1.05289	1.05255	1.05266	955	0	2
2024.12.05	08:00:00	1.05266	1.05298	1.05244	1.05252	767	0	2
2024.12.05	08:15:00	1.05252	1.05273	1.05237	1.05242	634	0	2
2024.12.05	08:30:00	1.05242	1.05279	1.05228	1.05271	672	0	2
2024.12.05	08:45:00	1.05272	1.05284	1.05252	1.05257	665	0	2
2024.12.05	09:00:00	1.05257	1.05387	1.05252	1.05385	1262	0	2
2024.12.05	09:15:00	1.05385	1.05386	1.05290	1.05295	1201	0	2
2024.12.05	09:30:00	1.05295	1.05308	1.05247	1.05291	1130	0	2
2024.12.05	09:45:00	1.05291	1.05363	1.05261	1.05353	1194	0	2
2024.12.05	10:00:00	1.05354	1.05455	1.05333	1.05406	1993	0	2
2024.12.05	10:15:00	1.05406	1.05464	1.05375	1.05433	1574	0	2
2024.12.05	10:30:00	1.05433	1.05441	1.05347	1.05357	1519	0	2
2024.12.05	10:45:00	1.05356	1.05386	1.05291	1.05300	1517	0	2
2024.12.05	11:00:00	1.05300	1.05344	1.05218	1.05279	1207	0	2
2024.12.05	11:15:00	1.05279	1.05290	1.05213	1.05231	1339	0	2
2024.12.05	11:30:00	1.05232	1.05347	1.05216	1.05339	1131	0	2
2024.12.05	11:45:00	1.05339	1.05340	1.05255	1.05286	1546	0	2
2024.12.05	12:00:00	1.05286	1.05336	1.05270	1.05335	1372	0	2
2024.12.05	12:15:00	1.05335	1.05353	1.05282	1.05293	1090	0	2
2024.12.05	12:30:00	1.05293	1.05312	1.05251	1.05273	1117	0	2
2024.12.05	12:45:00	1.05273	1.05296	1.05251	1.05260	1227	0	2
2024.12.05	13:00:00	1.05260	1.05285	1.05236	1.05258	1109	0	2
2024.12.05	13:15:00	1.05258	1.05286	1.05234	1.05255	1004	0	2
